"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","","Employment 3",,,,,"Employment rate 4",,,,
"Geography2","Sex","Reference period","15 to 24 years  (x 1,000)","25 to 44 years  (x 1,000)","45 to 64 years  (x 1,000)","65 to 69 years  (x 1,000)","70 years and over  (x 1,000)","15 to 24 years","25 to 44 years","45 to 64 years","65 to 69 years","70 years and over"
"",,,"Persons",,,,,"Percentage",,,,
,,"June 2018","1,050.5","3,163.0","2,836.2","197.7","121.3","58.3","82.3","72.8","26.2","7.6"
,,"July 2018","1,120.1","3,134.6","2,832.2","196.6","113.4","62.1","81.3","72.7","26.0","7.1"
,,"August 2018","1,086.2","3,103.0","2,819.3","186.0","107.9","60.1","80.3","72.4","24.5","6.7"
,,"September 2018","905.9","3,160.1","2,870.7","197.9","111.8","50.1","81.7","73.7","26.0","6.9"
,,"October 2018","897.8","3,173.9","2,890.4","204.6","107.7","49.6","81.8","74.2","26.9","6.7"
,,"November 2018","911.3","3,200.1","2,883.5","204.7","116.4","50.3","82.3","74.0","26.8","7.2"
,,"December 2018","905.0","3,215.0","2,869.7","205.0","122.9","50.0","82.5","73.6","26.8","7.5"
,,"January 2019","887.2","3,179.4","2,832.3","208.4","139.0","48.9","81.4","72.7","27.2","8.5"
,,"February 2019","914.8","3,208.4","2,826.6","208.1","137.8","50.4","82.0","72.5","27.1","8.4"
,,"March 2019","915.7","3,172.3","2,818.3","218.5","138.0","50.4","80.9","72.3","28.4","8.4"
,,"April 2019","944.4","3,204.4","2,840.6","225.6","139.5","51.8","81.5","72.9","29.2","8.4"
,,"May 2019","1,039.7","3,234.1","2,883.7","220.9","135.0","57.0","82.1","74.0","28.5","8.2"
,,"June 2019","1,068.9","3,235.1","2,888.2","223.5","132.6","58.5","81.9","74.1","28.8","8.0"
,,"July 2019","1,117.0","3,185.7","2,869.9","212.2","126.8","61.0","80.4","73.6","27.2","7.6"
,,"August 2019","1,136.9","3,200.0","2,869.5","221.9","134.5","62.0","80.5","73.6","28.4","8.0"
,,"September 2019","945.2","3,279.7","2,938.3","228.3","139.1","51.5","82.3","75.4","29.2","8.3"
,,"October 2019","940.6","3,300.6","2,896.4","233.5","151.0","51.1","82.6","74.3","29.7","8.9"
,,"November 2019","956.0","3,312.7","2,897.4","222.1","149.7","51.9","82.7","74.3","28.2","8.8"
,,"December 2019","956.9","3,321.5","2,880.2","235.0","152.3","51.9","82.8","73.9","29.8","9.0"
,,"January 2020","934.5","3,280.0","2,856.2","239.8","143.4","50.7","81.6","73.3","30.3","8.4"
,,"February 2020","937.5","3,278.3","2,869.4","236.0","145.6","50.9","81.4","73.7","29.8","8.5"
"Manitoba","Both sexes","January 2015","94.3","265.9","242.2","17.0","7.7","57.7","82.8","75.5","28.5","6.6"
,,"February 2015","92.9","267.0","243.2","16.5","8.4","56.9","83.0","75.8","27.5","7.1"
,,"March 2015","92.7","270.8","245.4","15.6","7.9","56.8","84.1","76.5","25.9","6.7"
,,"April 2015","90.6","272.0","244.7","16.8","8.4","55.5","84.3","76.3","27.8","7.1"
,,"May 2015","97.0","272.2","244.7","16.5","9.7","59.5","84.3","76.3","27.2","8.2"
,,"June 2015","99.9","271.9","245.8","17.8","10.7","61.3","84.1","76.6","29.2","9.0"
,,"July 2015","105.8","265.0","237.3","18.2","9.9","64.9","81.8","73.9","29.8","8.3"
,,"August 2015","107.2","267.6","236.0","17.7","10.0","65.8","82.5","73.5","28.9","8.4"
,,"September 2015","93.7","272.4","244.6","19.4","10.8","57.5","83.8","76.2","31.5","9.1"
,,"October 2015","94.5","271.0","247.1","20.3","11.7","58.0","83.2","77.0","32.9","9.8"
,,"November 2015","92.9","268.9","243.6","19.0","11.9","57.0","82.4","75.8","30.7","10.0"
,,"December 2015","90.7","270.7","241.0","17.6","11.5","55.7","82.9","75.1","28.4","9.6"
,,"January 2016","87.0","267.2","236.3","17.2","11.6","53.4","81.7","73.6","27.7","9.7"
,,"February 2016","87.3","266.5","238.2","19.5","11.1","53.6","81.3","74.1","31.3","9.3"
,,"March 2016","88.5","270.2","241.9","17.9","11.0","54.3","82.3","75.3","28.7","9.2"
,,"April 2016","90.2","270.1","239.8","17.8","9.9","55.3","82.1","74.6","28.5","8.2"
,,"May 2016","97.2","275.0","242.8","18.0","9.8","59.6","83.4","75.5","28.7","8.1"
,,"June 2016","100.4","274.9","242.8","18.2","11.1","61.6","83.2","75.5","29.0","9.2"
,,"July 2016","104.4","271.5","234.9","17.1","12.7","64.0","81.9","73.1","27.2","10.5"
,,"August 2016","103.1","271.2","234.8","15.4","12.8","63.2","81.7","73.0","24.4","10.5"
,,"September 2016","92.6","272.3","239.4","17.8","13.0","56.7","81.9","74.4","28.2","10.7"
,,"October 2016","93.0","269.7","243.0","18.0","12.6","57.0","81.1","75.5","28.5","10.3"
,,"November 2016","92.9","269.8","241.9","16.7","11.8","56.9","81.1","75.2","26.4","9.6"
,,"December 2016","92.9","269.3","240.1","16.9","11.4","56.8","80.9","74.6","26.7","9.3"
,,"January 2017","88.9","269.9","240.1","17.1","10.7","54.3","80.9","74.7","27.0","8.6"
,,"February 2017","88.3","273.1","239.1","17.6","11.4","53.9","81.7","74.3","27.8","9.2"
,,"March 2017","89.4","277.2","239.8","17.7","10.6","54.4","82.8","74.5","27.9","8.5"
,,"April 2017","91.1","280.2","237.4","17.2","10.1","55.4","83.5","73.8","27.1","8.1"
,,"May 2017","98.0","281.4","242.2","18.5","10.3","59.5","83.7","75.3","29.1","8.2"
,,"June 2017","103.0","283.9","241.4","17.5","11.0","62.5","84.3","75.0","27.5","8.7"
,,"July 2017","108.5","283.2","236.2","17.2","10.6","65.7","83.9","73.4","27.0","8.4"
,,"August 2017","108.3","281.9","235.8","17.8","10.1","65.5","83.4","73.3","27.9","8.0"
,,"September 2017","94.6","280.9","240.5","20.1","10.5","57.2","83.0","74.8","31.4","8.2"
,,"October 2017","96.9","281.6","241.3","20.0","11.1","58.6","83.1","75.1","31.3","8.7"
,,"November 2017","94.0","281.1","239.0","20.5","11.0","56.8","82.9","74.4","32.0","8.6"
,,"December 2017","95.0","279.1","237.5","19.6","11.3","57.4","82.2","73.9","30.6","8.8"
,,"January 2018","89.6","277.4","234.3","18.5","12.2","54.2","81.7","72.9","28.8","9.5"
,,"February 2018","89.6","275.7","235.0","19.3","13.0","54.1","81.0","73.2","30.1","10.1"
,,"March 2018","90.0","277.5","236.8","19.9","12.6","54.4","81.4","73.7","30.9","9.7"
,,"April 2018","93.2","279.4","235.4","19.8","13.9","56.3","81.8","73.3","30.7","10.7"
,,"May 2018","99.6","281.9","238.1","19.4","14.0","60.1","82.4","74.2","30.1","10.7"
,,"June 2018","105.4","283.6","242.1","20.2","12.5","63.6","82.7","75.5","31.3","9.6"
,,"July 2018","110.5","280.2","229.4","17.8","13.1","66.6","81.5","71.6","27.5","10.0"
,,"August 2018","109.4","281.6","232.0","17.5","13.4","66.0","81.8","72.4","27.0","10.2"
,,"September 2018","94.0","284.8","239.9","18.0","13.5","56.8","82.7","74.9","27.7","10.2"
,,"October 2018","93.8","285.2","240.9","21.0","13.2","56.6","82.7","75.3","32.2","10.0"
,,"November 2018","92.2","285.8","239.6","21.9","13.7","55.6","82.8","74.9","33.5","10.3"
,,"December 2018","93.4","286.7","234.8","21.0","14.5","56.3","82.9","73.4","32.1","10.9"
,,"January 2019","91.1","288.4","234.3","20.6","13.0","54.8","83.3","73.3","31.4","9.7"
,,"February 2019","91.1","283.2","233.5","21.9","14.4","54.8","81.6","73.1","33.2","10.8"
,,"March 2019","91.9","284.2","236.9","20.8","13.9","55.2","81.8","74.2","31.5","10.4"
,,"April 2019","94.4","286.4","234.8","19.4","14.1","56.7","82.3","73.6","29.3","10.5"
,,"May 2019","101.6","284.2","241.6","20.9","13.0","61.0","81.5","75.7","31.5","9.7"
,,"June 2019","102.7","285.2","242.1","20.4","12.0","61.6","81.7","75.9","30.7","8.9"
,,"July 2019","108.8","281.7","233.6","18.7","11.3","65.2","80.5","73.3","28.0","8.3"
,,"August 2019","107.7","288.8","235.1","18.0","9.8","64.5","82.3","73.7","26.9","7.2"
,,"September 2019","95.7","291.0","240.1","18.4","10.2","57.3","82.7","75.3","27.5","7.5"
,,"October 2019","97.2","292.3","239.0","19.2","10.0","58.2","82.9","75.0","28.6","7.3"
,,"November 2019","93.9","293.7","235.6","17.2","9.6","56.2","83.2","74.0","25.6","7.0"
,,"December 2019","98.4","291.9","235.7","17.6","9.5","58.9","82.6","74.0","26.1","6.9"
,,"January 2020","96.0","289.4","238.2","17.4","11.2","57.5","81.9","74.8","25.7","8.1"
,,"February 2020","95.3","291.4","238.7","17.4","12.3","57.0","82.3","75.0","25.7","8.9"
"Saskatchewan","Both sexes","January 2015","78.1","244.3","208.1","15.3","12.4","56.7","83.8","75.0","31.4","12.1"
,,"February 2015","80.1","244.7","206.2","14.7","12.2","58.2","83.8","74.3","30.0","11.9"
,,"March 2015","80.3","247.1","212.0","14.9","10.4","58.4","84.4","76.4","30.3","10.2"
,,"April 2015","79.6","251.5","212.0","15.9","10.5","58.0","85.7","76.4","32.3","10.2"
,,"May 2015","88.1","250.0","216.3","18.7","9.5","64.3","85.0","78.0","37.8","9.3"
,,"June 2015","91.1","254.9","215.7","17.5","10.0","66.6","86.5","77.8","35.2","9.8"
,,"July 2015","94.5","246.3","207.4","17.7","9.3","69.2","83.3","74.8","35.5","9.1"
,,"August 2015","92.1","248.0","211.1","18.6","9.0","67.5","83.7","76.1","37.2","8.8"
,,"September 2015","83.6","250.2","216.3","19.3","10.1","61.4","84.3","78.0","38.4","9.8"
,,"October 2015","81.2","253.3","216.2","19.2","10.0","59.7","85.2","77.9","38.1","9.7"
,,"November 2015","81.0","252.0","214.7","19.1","11.0","59.6","84.6","77.4","37.7","10.7"
,,"December 2015","80.0","252.3","209.3","18.6","10.7","59.0","84.6","75.5","36.7","10.4"
,,"January 2016","77.4","249.5","206.3","18.9","11.2","57.2","83.6","74.4","37.1","10.9"
,,"February 2016","74.5","247.1","205.4","16.8","11.1","55.1","82.7","74.1","32.9","10.8"
,,"March 2016","74.7","247.5","208.3","17.6","11.0","55.3","82.7","75.1","34.3","10.6"
,,"April 2016","74.0","248.4","209.2","17.3","11.1","54.8","82.9","75.4","33.7","10.7"
,,"May 2016","85.2","253.5","209.3","18.7","11.1","63.2","84.4","75.5","36.2","10.7"
,,"June 2016","87.9","254.6","210.8","18.0","10.9","65.2","84.6","76.0","34.9","10.5"
,,"July 2016","89.1","251.1","208.1","16.9","11.0","66.1","83.2","75.0","32.6","10.6"
,,"August 2016","90.0","248.7","207.4","18.1","10.5","66.8","82.2","74.7","34.9","10.1"
,,"September 2016","78.4","254.4","211.0","18.5","11.1","58.2","84.1","76.0","35.6","10.6"
,,"October 2016","76.8","252.7","209.5","19.6","10.6","57.1","83.5","75.5","37.6","10.1"
,,"November 2016","74.4","252.1","210.2","20.5","10.6","55.4","83.3","75.8","39.3","10.1"
,,"December 2016","74.5","250.3","209.0","19.3","9.8","55.5","82.6","75.3","36.9","9.3"
,,"January 2017","74.2","247.8","206.8","19.4","10.4","55.4","81.8","74.6","37.0","9.8"
,,"February 2017","73.4","252.4","207.5","19.0","11.4","54.8","83.2","74.8","36.1","10.8"
,,"March 2017","71.8","251.3","208.4","18.1","11.6","53.6","82.7","75.2","34.3","10.9"
,,"April 2017","73.5","251.4","206.4","17.4","11.3","54.9","82.5","74.5","32.9","10.6"
,,"May 2017","83.8","254.7","210.6","18.3","11.8","62.6","83.5","75.9","34.5","11.0"
,,"June 2017","84.4","256.7","207.6","18.3","12.7","63.1","84.1","74.9","34.5","11.8"
,,"July 2017","87.8","252.3","204.8","17.3","12.1","65.7","82.5","73.9","32.5","11.2"
,,"August 2017","85.3","254.1","203.7","17.4","12.5","63.8","83.0","73.6","32.6","11.6"
,,"September 2017","73.0","256.6","210.3","18.3","13.9","54.6","83.7","75.9","34.2","12.8"
,,"October 2017","71.7","254.6","205.5","19.8","14.2","53.7","83.0","74.2","36.9","13.1"
,,"November 2017","72.0","254.4","203.8","18.3","12.8","54.0","82.8","73.6","34.1","11.8"
,,"December 2017","70.2","256.9","203.9","19.5","11.8","52.7","83.6","73.7","36.2","10.8"
,,"January 2018","69.3","255.1","204.2","19.9","11.6","52.1","82.9","73.8","36.9","10.6"
,,"February 2018","67.6","253.7","204.8","17.5","12.2","50.8","82.3","74.0","32.3","11.2"
,,"March 2018","69.5","256.6","206.2","19.2","11.2","52.3","83.0","74.5","35.4","10.2"
,,"April 2018","68.6","253.7","206.7","18.2","11.2","51.6","81.9","74.8","33.4","10.2"
,,"May 2018","77.3","254.6","209.1","18.9","11.9","58.2","82.0","75.7","34.6","10.8"
,,"June 2018","80.7","260.8","209.5","20.3","12.4","60.8","83.9","75.8","37.0","11.3"
,,"July 2018","83.5","253.0","202.8","18.5","13.6","63.0","81.3","73.5","33.6","12.3"
,,"August 2018","84.3","253.5","203.8","20.7","12.0","63.6","81.4","73.9","37.6","10.9"
,,"September 2018","74.5","257.6","208.8","20.8","13.6","56.3","82.8","75.7","37.6","12.3"
,,"October 2018","73.6","258.5","208.1","22.1","12.8","55.7","83.0","75.5","39.8","11.5"
,,"November 2018","73.3","260.9","208.3","21.3","13.9","55.5","83.7","75.6","38.2","12.5"
,,"December 2018","71.6","261.3","205.9","20.4","14.1","54.2","83.7","74.8","36.5","12.6"
,,"January 2019","71.1","260.0","204.2","20.1","12.5","53.9","83.1","74.2","35.8","11.2"
,,"February 2019","70.5","258.2","204.5","18.8","12.8","53.5","82.5","74.3","33.4","11.4"
,,"March 2019","72.5","261.4","205.4","19.8","13.5","55.0","83.5","74.7","35.0","12.1"
,,"April 2019","70.8","260.5","207.3","19.2","14.6","53.8","83.3","75.5","33.8","13.0"
,,"May 2019","77.4","266.9","208.2","19.3","14.2","58.8","85.3","75.8","33.9","12.6"
,,"June 2019","82.3","266.8","211.3","19.2","13.3","62.5","85.2","77.0","33.6","11.8"
,,"July 2019","83.8","261.9","204.9","19.7","13.3","63.7","83.6","74.8","34.3","11.7"
,,"August 2019","84.5","265.2","204.5","19.9","13.3","64.3","84.6","74.7","34.5","11.7"
,,"September 2019","73.6","267.0","211.7","22.4","14.0","56.0","85.0","77.4","38.6","12.3"
,,"October 2019","74.3","265.4","210.1","22.4","14.0","56.5","84.4","76.8","38.5","12.3"
,,"November 2019","74.9","263.6","207.3","22.4","13.7","57.0","83.6","75.9","38.4","12.0"
,,"December 2019","73.1","263.8","206.9","23.0","13.1","55.6","83.7","75.8","39.2","11.4"
,,"January 2020","69.5","260.2","206.3","21.5","14.3","52.9","82.6","75.7","36.5","12.4"
,,"February 2020","71.3","260.5","202.5","20.6","14.8","54.2","82.6","74.3","34.8","12.8"
"Alberta","Both sexes","January 2015","310.0","1,085.5","806.8","53.8","29.9","59.1","84.0","76.7","33.1","10.2"
,,"February 2015","304.1","1,078.0","805.0","58.4","30.9","58.1","83.3","76.4","35.7","10.5"
,,"March 2015","303.3","1,062.8","810.0","56.2","29.4","58.0","81.9","76.8","34.2","10.0"
,,"April 2015","309.1","1,069.3","814.3","60.1","31.8","59.1","82.2","77.1","36.4","10.8"
,,"May 2015","336.4","1,072.1","821.0","64.5","30.3","64.3","82.2","77.7","38.9","10.3"
,,"June 2015","350.7","1,073.2","825.0","57.9","31.4","67.0","82.0","77.9","34.8","10.6"
,,"July 2015","356.9","1,060.8","814.5","60.1","33.5","68.2","80.8","76.8","35.9","11.3"
,,"August 2015","352.2","1,067.6","813.7","59.8","31.6","67.3","81.2","76.7","35.6","10.6"
,,"September 2015","313.1","1,095.0","830.7","57.2","30.9","59.9","83.1","78.2","33.9","10.3"
,,"October 2015","307.7","1,090.7","810.8","61.0","33.1","58.9","82.7","76.3","36.0","11.0"
,,"November 2015","299.2","1,095.2","807.2","57.4","30.8","57.3","82.9","75.9","33.8","10.3"
,,"December 2015","301.1","1,085.7","794.9","58.9","30.9","57.8","82.1","74.7","34.5","10.3"
,,"January 2016","287.0","1,084.6","790.9","55.4","30.1","55.2","82.0","74.2","32.3","10.0"
,,"February 2016","291.8","1,083.9","789.8","58.2","29.8","56.2","81.8","74.1","33.8","9.8"
,,"March 2016","297.0","1,083.3","794.3","54.6","30.4","57.3","81.6","74.4","31.6","10.0"
,,"April 2016","292.7","1,077.3","790.0","51.4","30.9","56.5","81.1","74.0","29.6","10.2"
,,"May 2016","309.3","1,082.1","794.9","51.9","33.0","59.8","81.3","74.4","29.8","10.8"
,,"June 2016","314.1","1,082.5","793.8","53.5","34.2","60.8","81.3","74.2","30.7","11.2"
,,"July 2016","324.8","1,076.2","776.7","51.2","37.7","62.9","80.7","72.6","29.3","12.3"
,,"August 2016","322.6","1,076.8","781.7","52.2","35.9","62.6","80.7","73.0","29.8","11.6"
,,"September 2016","301.9","1,090.0","799.8","54.5","36.1","58.6","81.6","74.6","31.0","11.6"
,,"October 2016","304.4","1,097.3","788.1","56.7","35.9","59.2","82.2","73.5","32.2","11.5"
,,"November 2016","296.0","1,086.0","784.0","53.9","37.9","57.6","81.4","73.1","30.5","12.1"
,,"December 2016","296.7","1,083.2","782.0","56.3","36.1","57.9","81.2","72.9","31.8","11.5"
,,"January 2017","287.9","1,083.1","779.5","55.7","36.0","56.3","81.2","72.6","31.4","11.4"
,,"February 2017","280.3","1,101.3","777.6","53.6","37.1","54.8","82.5","72.4","30.2","11.7"
,,"March 2017","280.5","1,116.3","776.1","55.5","35.4","54.9","83.5","72.2","31.2","11.1"
,,"April 2017","282.0","1,108.8","774.1","57.5","38.8","55.3","82.9","72.0","32.2","12.2"
,,"May 2017","310.5","1,122.6","783.4","57.5","36.6","60.9","83.8","72.8","32.1","11.4"
,,"June 2017","316.9","1,122.2","793.4","56.3","36.7","62.2","83.7","73.7","31.4","11.4"
,,"July 2017","330.1","1,099.9","779.8","52.4","34.4","64.8","82.0","72.4","29.1","10.6"
,,"August 2017","319.0","1,105.1","787.3","56.2","33.0","62.6","82.4","73.1","31.2","10.1"
,,"September 2017","279.1","1,105.0","816.2","59.6","34.6","54.8","82.4","75.7","33.0","10.6"
,,"October 2017","282.9","1,109.8","818.5","58.1","30.2","55.6","82.7","75.9","32.0","9.2"
,,"November 2017","278.0","1,109.1","814.9","55.4","32.1","54.7","82.7","75.5","30.4","9.7"
,,"December 2017","278.2","1,119.7","815.8","60.0","35.4","54.8","83.4","75.5","32.9","10.7"
,,"January 2018","273.6","1,110.7","807.6","59.0","36.7","54.0","82.7","74.7","32.2","11.0"
,,"February 2018","265.5","1,106.7","824.9","59.1","39.3","52.4","82.4","76.2","32.1","11.7"
,,"March 2018","270.5","1,119.3","828.0","54.3","38.2","53.4","83.3","76.5","29.4","11.4"
,,"April 2018","266.0","1,132.4","812.0","57.4","38.9","52.6","84.1","74.9","30.9","11.5"
,,"May 2018","299.0","1,138.3","811.8","58.7","37.3","59.1","84.5","74.8","31.5","11.0"
,,"June 2018","306.3","1,133.8","817.2","63.2","36.0","60.5","84.1","75.3","33.8","10.6"
,,"July 2018","317.9","1,128.2","800.7","58.5","36.5","62.8","83.6","73.7","31.1","10.7"
,,"August 2018","324.0","1,136.9","801.4","57.4","34.6","64.0","84.1","73.7","30.4","10.1"
,,"September 2018","277.8","1,138.1","830.4","66.0","35.9","54.8","84.2","76.3","34.8","10.4"
,,"October 2018","277.7","1,138.6","819.9","64.5","40.6","54.8","84.1","75.3","33.8","11.7"
,,"November 2018","278.9","1,144.2","824.0","62.5","41.1","55.1","84.5","75.6","32.7","11.8"
,,"December 2018","271.9","1,128.9","823.1","63.4","43.2","53.7","83.3","75.5","33.0","12.3"
,,"January 2019","261.8","1,118.0","805.8","64.6","45.6","51.8","82.5","73.9","33.4","12.9"
,,"February 2019","264.2","1,120.0","813.0","65.8","44.7","52.3","82.6","74.5","33.8","12.6"
,,"March 2019","269.3","1,120.9","813.1","70.0","43.5","53.3","82.6","74.4","35.8","12.2"
,,"April 2019","275.6","1,129.3","824.3","65.7","40.8","54.5","83.2","75.4","33.4","11.4"
,,"May 2019","288.6","1,134.3","831.6","72.1","40.3","57.0","83.5","76.0","36.5","11.2"
,,"June 2019","308.4","1,136.6","831.6","71.3","40.2","60.9","83.5","76.0","35.8","11.1"
,,"July 2019","320.8","1,122.6","806.3","72.6","34.2","63.2","82.4","73.6","36.3","9.4"
,,"August 2019","321.7","1,113.2","816.2","68.8","36.1","63.4","81.6","74.4","34.2","9.9"
,,"September 2019","278.3","1,134.3","835.8","75.1","33.3","54.7","83.1","76.2","37.1","9.1"
,,"October 2019","284.2","1,143.3","827.0","72.9","34.2","55.8","83.6","75.3","35.9","9.3"
,,"November 2019","277.3","1,141.2","820.7","69.8","30.9","54.4","83.4","74.7","34.2","8.3"
,,"December 2019","277.9","1,133.4","821.4","71.0","30.4","54.5","82.8","74.8","34.6","8.2"
,,"January 2020","259.5","1,114.8","806.2","67.9","33.1","50.9","81.4","73.4","32.9","8.9"
,,"February 2020","265.3","1,117.5","823.9","63.7","33.5","52.0","81.6","74.9","30.8","8.9"
"British Columbia","Both sexes","January 2015","295.9","977.0","888.2","60.4","32.1","50.9","80.9","68.2","23.4","6.4"
,,"February 2015","292.2","963.5","901.3","60.4","29.7","50.3","79.7","69.2","23.3","5.9"
,,"March 2015","300.1","959.1","903.1","63.6","29.0","51.6","79.3","69.3","24.4","5.7"
,,"April 2015","297.0","952.9","900.9","63.3","29.1","51.0","78.8","69.1","24.2","5.7"
,,"May 2015","322.1","975.7","911.2","66.7","27.7","55.3","80.6","69.8","25.4","5.5"
,,"June 2015","340.5","986.4","920.2","63.6","26.2","58.4","81.4","70.5","24.1","5.1"
,,"July 2015","349.4","981.2","916.0","58.7","24.4","59.9","80.9","70.1","22.1","4.8"
,,"August 2015","343.4","982.7","922.2","62.6","26.9","58.8","81.0","70.6","23.5","5.2"
,,"September 2015","310.0","995.0","937.4","67.9","28.1","53.1","81.9","71.7","25.4","5.4"
,,"October 2015","327.0","988.6","939.8","68.2","31.7","55.9","81.3","71.8","25.4","6.1"
,,"November 2015","320.2","996.7","923.6","70.5","33.9","54.8","81.9","70.5","26.2","6.5"
,,"December 2015","322.3","981.9","919.8","70.9","34.8","55.1","80.6","70.2","26.2","6.7"
,,"January 2016","307.7","971.3","916.8","68.4","38.3","52.6","79.8","69.9","25.2","7.3"
,,"February 2016","312.3","968.6","928.2","72.0","37.0","53.4","79.5","70.8","26.4","7.1"
,,"March 2016","312.5","968.7","938.8","73.7","41.2","53.5","79.4","71.6","27.0","7.8"
,,"April 2016","309.3","986.2","947.4","72.9","42.1","52.9","80.8","72.2","26.6","8.0"
,,"May 2016","335.2","986.5","959.6","68.0","37.6","57.4","80.7","73.1","24.8","7.1"
,,"June 2016","346.6","1,000.4","956.2","74.9","36.1","59.3","81.8","72.7","27.2","6.8"
,,"July 2016","368.7","998.3","945.2","70.0","36.8","63.1","81.4","71.9","25.4","6.9"
,,"August 2016","372.8","998.3","941.0","66.3","38.6","63.9","81.4","71.5","24.0","7.2"
,,"September 2016","324.8","1,011.2","952.7","68.9","38.3","55.6","82.4","72.4","24.9","7.1"
,,"October 2016","332.7","1,020.9","953.9","69.9","35.2","57.0","83.1","72.4","25.2","6.5"
,,"November 2016","325.2","1,008.7","952.7","67.9","38.7","55.8","82.1","72.3","24.5","7.1"
,,"December 2016","335.8","1,005.4","946.4","74.1","40.4","57.6","81.7","71.9","26.7","7.4"
,,"January 2017","325.0","1,014.7","936.5","69.9","38.8","55.8","82.4","71.1","25.2","7.1"
,,"February 2017","326.7","1,012.6","957.1","76.4","37.5","56.1","82.1","72.7","27.5","6.8"
,,"March 2017","334.5","1,019.0","952.1","82.1","35.5","57.5","82.5","72.3","29.6","6.4"
,,"April 2017","335.8","1,033.9","959.6","81.1","32.3","57.7","83.5","72.9","29.2","5.8"
,,"May 2017","368.3","1,043.6","954.4","87.3","34.2","63.3","84.1","72.5","31.4","6.1"
,,"June 2017","385.2","1,049.4","963.8","93.0","34.9","66.3","84.5","73.2","33.4","6.2"
,,"July 2017","397.1","1,034.4","949.0","93.1","33.8","68.3","83.1","72.0","33.4","6.0"
,,"August 2017","380.4","1,046.4","958.0","88.9","37.1","65.5","84.0","72.7","31.9","6.6"
,,"September 2017","341.2","1,056.0","954.0","86.7","38.1","58.7","84.7","72.4","31.1","6.7"
,,"October 2017","347.1","1,044.4","960.9","79.4","39.9","59.8","83.7","72.9","28.4","7.0"
,,"November 2017","353.7","1,041.7","970.5","75.8","42.2","60.9","83.4","73.7","27.1","7.4"
,,"December 2017","348.2","1,047.9","962.2","79.0","38.8","60.0","83.8","73.1","28.3","6.8"
,,"January 2018","334.0","1,024.3","958.3","80.2","45.4","57.5","81.8","72.8","28.7","7.9"
,,"February 2018","330.2","1,036.2","962.3","74.6","47.2","56.9","82.6","73.2","26.6","8.2"
,,"March 2018","325.4","1,042.2","962.2","76.4","49.5","56.0","82.9","73.2","27.2","8.6"
,,"April 2018","325.4","1,052.8","955.6","80.1","51.0","56.0","83.5","72.7","28.5","8.8"
,,"May 2018","352.5","1,048.3","951.4","78.8","52.3","60.6","83.0","72.4","28.0","9.0"
,,"June 2018","357.7","1,063.0","955.1","76.0","51.4","61.5","84.0","72.6","27.0","8.8"
,,"July 2018","372.3","1,067.1","943.9","73.2","46.0","63.9","84.1","71.8","26.0","7.8"
,,"August 2018","370.9","1,065.2","960.8","70.2","44.7","63.6","83.8","73.1","24.8","7.6"
,,"September 2018","342.0","1,096.0","971.7","70.7","46.1","58.6","86.1","73.9","25.0","7.8"
,,"October 2018","341.9","1,083.2","969.8","78.2","49.5","58.6","84.9","73.8","27.6","8.3"
,,"November 2018","342.9","1,081.9","974.7","81.8","52.7","58.7","84.7","74.2","28.8","8.8"
,,"December 2018","334.3","1,086.3","970.9","82.9","51.7","57.2","84.9","74.0","29.2","8.6"
,,"January 2019","332.1","1,082.5","956.4","86.4","49.4","56.8","84.4","72.9","30.3","8.2"
,,"February 2019","335.2","1,080.7","966.0","88.8","52.5","57.3","84.2","73.7","31.1","8.7"
,,"March 2019","333.6","1,080.1","982.5","92.4","51.8","56.9","84.0","75.0","32.3","8.6"
,,"April 2019","346.0","1,084.1","976.5","90.2","53.0","59.0","84.1","74.5","31.5","8.7"
,,"May 2019","366.8","1,104.1","973.3","94.7","51.9","62.4","85.5","74.3","33.0","8.5"
,,"June 2019","374.8","1,117.2","979.2","90.0","51.2","63.7","86.3","74.7","31.3","8.4"
,,"July 2019","388.9","1,105.9","965.1","83.3","51.6","65.9","85.1","73.7","28.9","8.4"
,,"August 2019","386.1","1,100.5","958.8","83.9","51.4","65.4","84.5","73.2","29.1","8.3"
,,"September 2019","334.5","1,119.3","972.7","80.5","51.7","56.5","85.6","74.3","27.8","8.4"
,,"October 2019","343.0","1,108.5","980.2","88.2","53.2","57.9","84.6","74.9","30.4","8.6"
,,"November 2019","331.8","1,110.2","961.1","84.2","55.4","55.9","84.5","73.5","29.0","8.9"
,,"December 2019","332.3","1,117.1","942.5","87.2","55.4","55.9","84.9","72.1","30.0","8.9"
,,"January 2020","317.5","1,098.3","946.7","88.6","54.8","53.4","83.3","72.4","30.4","8.7"
,,"February 2020","326.1","1,096.7","946.7","85.2","56.2","54.8","82.9","72.4","29.2","8.9"

Symbol legend:

Footnotes:
