"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","","Employment 3",,,"Employment rate 4",,
"Geography2","Age group","Reference period","Both sexes  (x 1,000)","Males  (x 1,000)","Females  (x 1,000)","Both sexes","Males","Females"
"",,,"Persons",,,"Percentage",,
,,"July 2017","2,296.6","1,273.5","1,023.1","66.9","73.4","60.4"
,,"August 2017","2,300.7","1,286.1","1,014.6","67.0","74.0","59.8"
,,"September 2017","2,294.5","1,262.4","1,032.1","66.8","72.6","60.8"
,,"October 2017","2,299.5","1,260.1","1,039.5","66.9","72.5","61.1"
,,"November 2017","2,289.5","1,250.6","1,038.9","66.5","71.9","61.0"
,,"December 2017","2,309.2","1,251.1","1,058.1","67.1","71.9","62.1"
,,"January 2018","2,287.5","1,238.4","1,049.1","66.4","71.1","61.5"
,,"February 2018","2,295.6","1,239.5","1,056.0","66.5","71.1","61.8"
,,"March 2018","2,310.3","1,247.2","1,063.1","66.9","71.5","62.2"
,,"April 2018","2,306.6","1,241.5","1,065.1","66.7","71.1","62.2"
,,"May 2018","2,345.2","1,273.4","1,071.8","67.7","72.9","62.5"
,,"June 2018","2,356.6","1,285.6","1,071.0","68.0","73.5","62.3"
,,"July 2018","2,341.7","1,284.6","1,057.1","67.4","73.4","61.4"
,,"August 2018","2,354.4","1,288.9","1,065.5","67.7","73.5","61.8"
,,"September 2018","2,348.1","1,283.3","1,064.8","67.4","73.1","61.6"
,,"October 2018","2,341.3","1,274.4","1,066.9","67.2","72.6","61.7"
,,"November 2018","2,350.7","1,269.0","1,081.7","67.4","72.2","62.5"
,,"December 2018","2,330.5","1,249.0","1,081.5","66.7","71.0","62.4"
,,"January 2019","2,295.9","1,225.5","1,070.4","65.6","69.6","61.6"
,,"February 2019","2,307.7","1,233.5","1,074.1","65.9","70.0","61.8"
,,"March 2019","2,316.8","1,244.0","1,072.8","66.1","70.5","61.6"
,,"April 2019","2,335.8","1,252.4","1,083.3","66.5","70.9","62.1"
,,"May 2019","2,366.9","1,268.7","1,098.2","67.3","71.7","62.8"
,,"June 2019","2,388.1","1,287.4","1,100.7","67.8","72.7","62.9"
,,"July 2019","2,356.4","1,290.2","1,066.2","66.8","72.7","60.8"
,,"August 2019","2,356.0","1,290.7","1,065.2","66.7","72.6","60.6"
,,"September 2019","2,356.9","1,275.9","1,080.9","66.6","71.7","61.4"
,,"October 2019","2,361.7","1,271.0","1,090.7","66.6","71.3","61.8"
,,"November 2019","2,339.9","1,257.5","1,082.4","65.9","70.5","61.3"
,,"December 2019","2,334.1","1,249.3","1,084.8","65.7","69.9","61.4"
,,"January 2020","2,281.6","1,225.2","1,056.4","64.1","68.5","59.7"
,,"February 2020","2,303.9","1,233.3","1,070.6","64.7","68.9","60.4"
"British Columbia","15 years and over","January 2015","2,253.6","1,177.3","1,076.3","58.5","62.0","55.1"
,,"February 2015","2,247.1","1,175.2","1,071.9","58.3","61.8","54.8"
,,"March 2015","2,254.9","1,178.4","1,076.5","58.4","62.0","55.0"
,,"April 2015","2,243.1","1,170.0","1,073.1","58.1","61.4","54.8"
,,"May 2015","2,303.4","1,209.7","1,093.7","59.5","63.5","55.7"
,,"June 2015","2,336.9","1,234.0","1,102.9","60.3","64.6","56.1"
,,"July 2015","2,329.7","1,236.3","1,093.4","60.1","64.7","55.6"
,,"August 2015","2,337.7","1,239.3","1,098.4","60.2","64.7","55.8"
,,"September 2015","2,338.5","1,236.7","1,101.7","60.1","64.5","55.8"
,,"October 2015","2,355.1","1,228.7","1,126.4","60.5","64.0","57.0"
,,"November 2015","2,345.0","1,224.3","1,120.7","60.1","63.7","56.7"
,,"December 2015","2,329.6","1,215.3","1,114.4","59.7","63.2","56.3"
,,"January 2016","2,302.4","1,190.1","1,112.2","58.9","61.8","56.1"
,,"February 2016","2,318.2","1,204.2","1,114.0","59.3","62.5","56.2"
,,"March 2016","2,334.8","1,211.5","1,123.3","59.7","62.8","56.6"
,,"April 2016","2,357.9","1,231.7","1,126.2","60.2","63.8","56.6"
,,"May 2016","2,386.9","1,245.7","1,141.2","60.8","64.5","57.3"
,,"June 2016","2,414.3","1,263.4","1,150.9","61.4","65.3","57.7"
,,"July 2016","2,419.0","1,266.5","1,152.5","61.5","65.4","57.7"
,,"August 2016","2,417.0","1,272.4","1,144.6","61.4","65.6","57.2"
,,"September 2016","2,395.9","1,247.3","1,148.6","60.7","64.2","57.4"
,,"October 2016","2,412.7","1,259.4","1,153.3","61.1","64.8","57.6"
,,"November 2016","2,393.1","1,247.9","1,145.2","60.6","64.2","57.1"
,,"December 2016","2,402.1","1,240.5","1,161.6","60.8","63.7","57.9"
,,"January 2017","2,385.0","1,230.0","1,154.9","60.3","63.2","57.5"
,,"February 2017","2,410.3","1,243.6","1,166.7","60.9","63.8","58.0"
,,"March 2017","2,423.2","1,252.8","1,170.4","61.1","64.2","58.1"
,,"April 2017","2,442.6","1,256.1","1,186.5","61.6","64.3","58.9"
,,"May 2017","2,487.8","1,279.4","1,208.4","62.6","65.4","59.9"
,,"June 2017","2,526.3","1,311.8","1,214.5","63.5","67.0","60.1"
,,"July 2017","2,507.4","1,309.7","1,197.7","62.9","66.8","59.2"
,,"August 2017","2,510.8","1,320.8","1,190.0","63.0","67.3","58.7"
,,"September 2017","2,476.0","1,286.1","1,189.8","62.0","65.5","58.7"
,,"October 2017","2,471.7","1,274.4","1,197.3","61.9","64.8","59.0"
,,"November 2017","2,484.0","1,280.5","1,203.5","62.1","65.1","59.3"
,,"December 2017","2,476.0","1,270.8","1,205.2","61.9","64.6","59.3"
,,"January 2018","2,442.1","1,260.1","1,182.0","61.0","64.0","58.1"
,,"February 2018","2,450.5","1,269.3","1,181.2","61.1","64.4","58.0"
,,"March 2018","2,455.8","1,273.7","1,182.1","61.2","64.5","58.0"
,,"April 2018","2,464.8","1,278.9","1,185.9","61.3","64.7","58.1"
,,"May 2018","2,483.3","1,286.7","1,196.6","61.7","65.0","58.6"
,,"June 2018","2,503.3","1,300.1","1,203.2","62.1","65.6","58.8"
,,"July 2018","2,502.5","1,300.8","1,201.7","62.0","65.5","58.6"
,,"August 2018","2,511.8","1,307.3","1,204.5","62.2","65.7","58.7"
,,"September 2018","2,526.4","1,306.9","1,219.5","62.4","65.6","59.4"
,,"October 2018","2,522.6","1,300.7","1,221.8","62.3","65.2","59.4"
,,"November 2018","2,534.0","1,305.9","1,228.0","62.5","65.4","59.7"
,,"December 2018","2,526.1","1,307.8","1,218.3","62.2","65.4","59.1"
,,"January 2019","2,506.7","1,293.0","1,213.8","61.7","64.6","58.8"
,,"February 2019","2,523.2","1,306.6","1,216.6","62.0","65.3","58.9"
,,"March 2019","2,540.4","1,316.9","1,223.4","62.4","65.7","59.2"
,,"April 2019","2,549.8","1,324.0","1,225.9","62.5","65.9","59.2"
,,"May 2019","2,590.9","1,345.6","1,245.3","63.4","66.9","60.1"
,,"June 2019","2,612.5","1,356.5","1,256.0","63.9","67.3","60.5"
,,"July 2019","2,594.8","1,356.6","1,238.2","63.3","67.2","59.5"
,,"August 2019","2,580.6","1,357.8","1,222.8","62.8","67.1","58.7"
,,"September 2019","2,558.6","1,334.1","1,224.5","62.2","65.8","58.6"
,,"October 2019","2,573.1","1,344.2","1,228.8","62.4","66.2","58.7"
,,"November 2019","2,542.8","1,327.5","1,215.3","61.6","65.3","58.0"
,,"December 2019","2,534.6","1,321.6","1,213.0","61.3","64.9","57.8"
,,"January 2020","2,505.8","1,312.6","1,193.2","60.5","64.4","56.8"
,,"February 2020","2,510.9","1,314.2","1,196.8","60.6","64.3","56.9"

Symbol legend:

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
4,"The employment rate is the number of persons employed expressed as a percentage of the population 15 years of age and over. The employment rate for a particular group (age, sex, marital status, etc.) is the number employed in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."
5,
"How to cite: Statistics Canada. Table 14-10-0017-01 Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410001701
DOI: https://doi.org/10.25318/1410001701-eng
